index,id,genres
554,tm39557,"['drama', 'comedy', 'romance']"
555,tm22558,"['drama', 'comedy', 'family']"
556,ts204466,"['comedy', 'drama', 'romance']"
557,tm164591,"['action', 'drama', 'crime']"
558,tm106625,"['drama', 'comedy', 'crime', 'romance']"
559,ts18653,"['action', 'animation', 'comedy']"
560,tm352863,['horror']
561,ts67595,"['drama', 'comedy']"
562,tm29731,"['comedy', 'drama', 'romance']"
563,tm80455,"['thriller', 'crime', 'drama']"
564,tm84348,['crime']
565,tm144835,['documentation']
566,tm129971,"['romance', 'drama']"
567,tm41953,['comedy']
568,tm103133,"['thriller', 'drama', 'romance']"
569,tm421611,['comedy']
570,ts29199,['comedy']
571,tm155761,"['action', 'comedy', 'romance']"
572,tm75544,"['drama', 'sport', 'thriller']"
